OBJECTID_12_13,FID_re_class_clip,OBJECTID_1,OBJECTID,x,y,Class,Descriptio,note,FID_merge_dataSHP1,OBJECTID_12,X_1,Y_1,B1,B2,B3,B4,B5,B6,B7,EVI,NDVI,NDWI,SAVI
1,32,33,159,429780,880500,6,Rubber,te,91610,91611,429780,880500,64,6,499,173,4072,0,176,2.250871897000000,0.853566349000000,-0.726352811000000,1.280198336000000
2,73,74,396,423000,880590,2,Forest,tr,44165,44166,423000,880590,-69,-114,108,16,3084,0,84,2.345319033000000,0.910119414000000,-0.835144937000000,1.364964604000000
3,34,35,168,428820,880590,6,Rubber,te,90948,90949,428820,880590,117,59,465,232,4289,0,207,2.242585897000000,0.844916224000000,-0.751378894000000,1.267232656000000
4,55,56,293,432180,880590,7,Other,tr,91060,91061,432180,880590,29,-35,189,116,2751,0,121,2.215729952000000,0.798195779000000,-0.735569179000000,1.197093725000000
5,106,107,647,429450,880620,4,Argriculture,tr,90759,90760,429450,880620,50,-17,195,83,4258,0,125,2.494867802000000,0.896702766000000,-0.834522724000000,1.344899178000000
6,0,1,1,426150,880740,3,Water,tr,43240,43241,426150,880740,203,146,210,77,-44,0,0,0.072254337000000,-0.074626863000000,0.339253992000000,-0.111801244000000
7,28,29,143,429180,880740,6,Rubber,tr,89910,89911,429180,880740,86,16,360,186,3425,0,179,2.208249569000000,0.830765069000000,-0.739532471000000,1.245979190000000
8,43,44,221,422220,880770,6,Rubber,te,42903,42904,422220,880770,-51,-105,155,24,2547,0,96,2.336231947000000,0.885714293000000,-0.780083001000000,1.328328133000000
9,51,52,285,427500,880800,7,Other,tr,89434,89435,427500,880800,94,33,334,210,3471,0,194,2.170575619000000,0.820967734000000,-0.750387609000000,1.231286049000000
10,13,14,45,425010,881010,6,Rubber,tr,41348,41349,425010,881010,70,2,375,181,4798,0,206,2.258486986000000,0.880334914000000,-0.803015471000000,1.320367575000000
11,64,65,332,427020,881010,7,Other,te,87948,87949,427020,881010,265,259,499,368,3735,0,323,2.422078848000000,0.769699931000000,-0.707225204000000,1.154409051000000
12,74,75,424,423090,881130,2,Forest,tr,40460,40461,423090,881130,-35,-81,126,42,2665,0,88,2.359221458000000,0.882020473000000,-0.804266870000000,1.322797060000000
13,77,78,453,423840,881160,2,Forest,te,40279,40280,423840,881160,-11,-63,177,60,3544,0,106,2.391113758000000,0.899890006000000,-0.825581372000000,1.349649429000000
14,42,43,215,424320,881190,6,Rubber,te,40089,40090,424320,881190,-59,-105,138,23,3122,0,116,2.369787455000000,0.901821554000000,-0.818181813000000,1.352523565000000
15,24,25,127,427170,881190,6,Rubber,tr,86693,86694,427170,881190,1159,1124,1560,1418,3815,0,640,1.646032691000000,0.463917524000000,-0.429069102000000,0.695807338000000
16,3,4,8,433110,881250,3,Water,tr,120804,120805,433110,881250,655,675,1042,902,758,0,63,-0.136531368000000,-0.020385675000000,0.091466531000000,-0.030570092000000
17,76,77,447,422550,881370,2,Forest,te,38794,38795,422550,881370,-40,-109,85,2,3230,0,92,2.449359894000000,0.912466049000000,-0.844541490000000,1.368492603000000
18,52,53,286,430650,881430,7,Other,tr,85129,85130,430650,881430,1056,918,1121,1077,3034,0,666,2.069565296000000,0.467813253000000,-0.447891414000000,0.701633692000000
19,97,98,609,430320,881490,1,Buildup,te,84698,84699,430320,881490,270,246,445,362,3052,0,343,2.403204203000000,0.721236408000000,-0.668701470000000,1.081699848000000
20,19,20,113,423810,881580,6,Rubber,tr,37394,37395,423810,881580,62,17,406,214,4122,0,206,2.160537958000000,0.852547526000000,-0.768661737000000,1.278671145000000
21,10,11,21,421140,881610,6,Rubber,tr,37099,37100,421140,881610,314,228,378,351,2330,0,320,2.351257086000000,0.676818371000000,-0.638081908000000,1.015045643000000
22,71,72,380,433080,881640,5,Mangrove,te,118905,118906,433080,881640,19,-55,156,58,3183,0,36,2.478016138000000,0.864947796000000,-0.791801810000000,1.297222614000000
23,58,59,304,431370,881670,7,Other,tr,83473,83474,431370,881670,103,39,346,193,3904,0,153,2.293360472000000,0.834771872000000,-0.760113537000000,1.252003431000000
24,6,7,12,427200,881700,3,Water,te,83124,83125,427200,881700,203,137,249,151,72,0,32,-0.189599127000000,0.054602183000000,0.122077920000000,0.081839442000000
25,104,105,638,426990,881730,1,Buildup,te,82907,82908,426990,881730,393,342,622,643,3384,0,338,1.676524758000000,0.634734988000000,-0.629868507000000,0.951984107000000
26,37,38,185,429330,881790,6,Rubber,te,82565,82566,429330,881790,1264,1270,1667,1991,3314,0,960,0.699872673000000,0.280912131000000,-0.350466311000000,0.421326816000000
27,63,64,331,431040,881820,7,Other,te,82412,82413,431040,881820,199,149,696,483,4741,0,282,1.850565910000000,0.769124329000000,-0.698936999000000,1.153572559000000
28,78,79,467,424920,881880,2,Forest,te,35371,35372,424920,881880,61,8,408,187,4537,0,201,2.225777864000000,0.866408944000000,-0.780008197000000,1.299473882000000
29,88,89,540,421080,881970,1,Buildup,tr,34625,34626,421080,881970,288,238,686,697,3349,0,316,1.355181575000000,0.614149511000000,-0.605289400000000,0.921108723000000
30,49,50,274,428130,881970,7,Other,tr,81265,81266,428130,881970,109,58,462,228,4097,0,209,2.207374334000000,0.826691389000000,-0.734271884000000,1.239893436000000
31,53,54,290,430800,882150,7,Other,tr,80094,80095,430800,882150,352,296,639,629,4190,0,280,1.749652743000000,0.695772231000000,-0.681837320000000,1.043547630000000
32,4,5,10,423960,882180,3,Water,te,33279,33280,423960,882180,144,134,391,316,2680,0,157,2.039318800000000,0.726832390000000,-0.670727909000000,1.090072632000000
33,33,34,162,424620,882540,6,Rubber,te,30829,30830,424620,882540,0,-54,250,66,3934,0,175,2.411276340000000,0.893326700000000,-0.802550793000000,1.339823961000000
34,26,27,136,423690,882600,6,Rubber,tr,30386,30387,423690,882600,-11,-51,403,121,3967,0,178,2.225988626000000,0.869117618000000,-0.750688732000000,1.303516746000000
35,67,68,361,432450,882630,5,Mangrove,tr,76789,76790,432450,882630,200,158,354,231,2082,0,30,2.807850599000000,0.720552385000000,-0.623610556000000,1.080609202000000
36,61,62,319,423390,882660,7,Other,te,29964,29965,423390,882660,379,341,792,810,3676,0,451,1.377855539000000,0.609467447000000,-0.605084002000000,0.914097190000000
37,56,57,294,429210,882690,7,Other,tr,76261,76262,429210,882690,356,365,793,779,3289,0,486,1.431394339000000,0.557747841000000,-0.539595723000000,0.836521089000000
38,94,95,592,422820,882720,1,Buildup,te,29533,29534,422820,882720,371,301,641,716,3309,0,396,1.394982457000000,0.594037294000000,-0.608020067000000,0.890945256000000
39,41,42,213,431370,882750,6,Rubber,te,75913,75914,431370,882750,106,45,437,208,4548,0,198,2.290473938000000,0.851820290000000,-0.763584733000000,1.277594447000000
40,65,66,349,425910,882930,7,Other,te,28194,28195,425910,882930,954,913,954,887,1892,0,617,6.075085163000000,0.365503073000000,-0.329113930000000,0.548160791000000
41,81,82,499,425940,883020,1,Buildup,tr,27577,27578,425940,883020,666,585,671,721,2325,0,546,2.116402149000000,0.504731834000000,-0.508538902000000,0.756978393000000
42,5,6,11,427740,883020,3,Water,te,73902,73903,427740,883020,208,196,542,360,368,0,96,0.617977500000000,0.119565219000000,0.044083528000000,0.179266632000000
43,102,103,630,428940,883020,1,Buildup,te,73942,73943,428940,883020,865,767,879,891,2737,0,520,2.279898167000000,0.486956507000000,-0.479718775000000,0.730335593000000
44,8,9,16,425010,883080,6,Rubber,tr,27134,27135,425010,883080,153,105,479,290,3623,0,224,2.134739161000000,0.788568556000000,-0.703275502000000,1.182703257000000
45,44,45,222,428160,883110,6,Rubber,te,73286,73287,428160,883110,12,-68,342,28,4582,0,210,2.484307051000000,0.898297668000000,-0.781646848000000,1.347299576000000
